iteration,latency_ns,latency_ms,precision,threads,kernels
503,1116763,1.116763,double,1,10
504,1115180,1.11518,double,1,10
505,1126841,1.126841,double,1,10
506,1114337,1.114337,double,1,10
507,1110725,1.110725,double,1,10
508,1119749,1.119749,double,1,10
509,1110733,1.110733,double,1,10
510,1120369,1.120369,double,1,10
511,1111438,1.111438,double,1,10
512,1114591,1.114591,double,1,10
513,1121886,1.121886,double,1,10
514,1114923,1.114923,double,1,10
515,1115830,1.11583,double,1,10
516,1131289,1.131289,double,1,10
517,1111053,1.111053,double,1,10
518,1117327,1.117327,double,1,10
519,1111989,1.111989,double,1,10
520,1118185,1.118185,double,1,10
521,1115132,1.115132,double,1,10
522,1117620,1.11762,double,1,10
523,1113379,1.113379,double,1,10
524,1113219,1.113219,double,1,10
525,1117497,1.117497,double,1,10
526,1121544,1.121544,double,1,10
527,1112194,1.112194,double,1,10
528,1117957,1.117957,double,1,10
529,1114630,1.11463,double,1,10
530,1119540,1.11954,double,1,10
531,1115653,1.115653,double,1,10
532,1109251,1.109251,double,1,10
533,1119096,1.119096,double,1,10
534,1110812,1.110812,double,1,10
535,1116961,1.116961,double,1,10
536,1112031,1.112031,double,1,10
537,1116595,1.116595,double,1,10
538,1117039,1.117039,double,1,10
539,1122335,1.122335,double,1,10
540,1124085,1.124085,double,1,10
541,1116262,1.116262,double,1,10
542,1118507,1.118507,double,1,10
543,1115611,1.115611,double,1,10
544,1127061,1.127061,double,1,10
545,1112328,1.112328,double,1,10
546,1156753,1.156753,double,1,10
547,1108805,1.108805,double,1,10
548,1547407,1.547407,double,1,10
549,1586742,1.586742,double,1,10
550,1112214,1.112214,double,1,10
551,1315633,1.315633,double,1,10
552,1459773,1.459773,double,1,10
553,1115807,1.115807,double,1,10
554,1103298,1.103298,double,1,10
555,1104144,1.104144,double,1,10
556,1108297,1.108297,double,1,10
557,1105418,1.105418,double,1,10
558,1115062,1.115062,double,1,10
559,1104028,1.104028,double,1,10
560,1110411,1.110411,double,1,10
561,1104233,1.104233,double,1,10
562,1107391,1.107391,double,1,10
563,1104127,1.104127,double,1,10
564,1102647,1.102647,double,1,10
565,1107231,1.107231,double,1,10
566,1103031,1.103031,double,1,10
567,1103420,1.10342,double,1,10
568,1106853,1.106853,double,1,10
569,1119629,1.119629,double,1,10
570,1103737,1.103737,double,1,10
571,1103545,1.103545,double,1,10
572,1107091,1.107091,double,1,10
573,1111108,1.111108,double,1,10
574,1107915,1.107915,double,1,10
575,1103343,1.103343,double,1,10
576,1104692,1.104692,double,1,10
577,1106493,1.106493,double,1,10
578,1106702,1.106702,double,1,10
579,1106241,1.106241,double,1,10
580,1102855,1.102855,double,1,10
581,1105891,1.105891,double,1,10
582,1102863,1.102863,double,1,10
583,1148356,1.148356,double,1,10
584,1113944,1.113944,double,1,10
585,1103512,1.103512,double,1,10
586,1103024,1.103024,double,1,10
587,1109719,1.109719,double,1,10
588,1106410,1.10641,double,1,10
589,1102453,1.102453,double,1,10
590,1106518,1.106518,double,1,10
591,1103196,1.103196,double,1,10
592,1103204,1.103204,double,1,10
593,1105707,1.105707,double,1,10
594,1102585,1.102585,double,1,10
595,1106574,1.106574,double,1,10
596,1103462,1.103462,double,1,10
597,1122350,1.12235,double,1,10
598,1102256,1.102256,double,1,10
599,1105005,1.105005,double,1,10
600,1172135,1.172135,double,1,10
601,1107565,1.107565,double,1,10
602,1115216,1.115216,double,1,10
603,1104490,1.10449,double,1,10
604,1104113,1.104113,double,1,10
605,1118698,1.118698,double,1,10
606,1103066,1.103066,double,1,10
607,1103688,1.103688,double,1,10
608,1107273,1.107273,double,1,10
609,1103445,1.103445,double,1,10
610,1104324,1.104324,double,1,10
611,1173663,1.173663,double,1,10
612,1155022,1.155022,double,1,10
613,1122841,1.122841,double,1,10
614,1116481,1.116481,double,1,10
615,1121859,1.121859,double,1,10
616,1113574,1.113574,double,1,10
617,1115603,1.115603,double,1,10
618,1126170,1.12617,double,1,10
619,1114610,1.11461,double,1,10
620,1112492,1.112492,double,1,10
621,1122920,1.12292,double,1,10
622,1114432,1.114432,double,1,10
623,1116998,1.116998,double,1,10
624,1113558,1.113558,double,1,10
625,1117309,1.117309,double,1,10
626,1114204,1.114204,double,1,10
627,1117791,1.117791,double,1,10
628,1114251,1.114251,double,1,10
629,1121762,1.121762,double,1,10
630,1116551,1.116551,double,1,10
631,1120625,1.120625,double,1,10
632,1111946,1.111946,double,1,10
633,1117109,1.117109,double,1,10
634,1116846,1.116846,double,1,10
635,1114981,1.114981,double,1,10
636,1112843,1.112843,double,1,10
637,1120247,1.120247,double,1,10
638,1124415,1.124415,double,1,10
639,1120047,1.120047,double,1,10
640,1113146,1.113146,double,1,10
641,1120880,1.12088,double,1,10
642,1112761,1.112761,double,1,10
643,1113482,1.113482,double,1,10
644,1119101,1.119101,double,1,10
645,1113460,1.11346,double,1,10
646,1124610,1.12461,double,1,10
647,1117891,1.117891,double,1,10
648,1123791,1.123791,double,1,10
649,1114952,1.114952,double,1,10
650,1120882,1.120882,double,1,10
651,1113639,1.113639,double,1,10
652,1112511,1.112511,double,1,10
653,1115538,1.115538,double,1,10
654,1113015,1.113015,double,1,10
655,1123542,1.123542,double,1,10
656,1111475,1.111475,double,1,10
657,1119816,1.119816,double,1,10
658,1122142,1.122142,double,1,10
659,1121472,1.121472,double,1,10
