iteration,latency_ns,latency_ms,precision,threads,scope
187,15744595,15.7446,double_intermediate,1,plan+SOCS+FI+output_formation
188,15780364,15.7804,double_intermediate,1,plan+SOCS+FI+output_formation
189,15758190,15.7582,double_intermediate,1,plan+SOCS+FI+output_formation
190,15559826,15.5598,double_intermediate,1,plan+SOCS+FI+output_formation
191,15534163,15.5342,double_intermediate,1,plan+SOCS+FI+output_formation
192,15652460,15.6525,double_intermediate,1,plan+SOCS+FI+output_formation
193,15497864,15.4979,double_intermediate,1,plan+SOCS+FI+output_formation
194,15513579,15.5136,double_intermediate,1,plan+SOCS+FI+output_formation
195,15659665,15.6597,double_intermediate,1,plan+SOCS+FI+output_formation
196,15511088,15.5111,double_intermediate,1,plan+SOCS+FI+output_formation
197,15672854,15.6729,double_intermediate,1,plan+SOCS+FI+output_formation
198,15629170,15.6292,double_intermediate,1,plan+SOCS+FI+output_formation
199,15606124,15.6061,double_intermediate,1,plan+SOCS+FI+output_formation
200,15517853,15.5179,double_intermediate,1,plan+SOCS+FI+output_formation
201,15534685,15.5347,double_intermediate,1,plan+SOCS+FI+output_formation
202,15663697,15.6637,double_intermediate,1,plan+SOCS+FI+output_formation
203,16427542,16.4275,double_intermediate,1,plan+SOCS+FI+output_formation
204,15602898,15.6029,double_intermediate,1,plan+SOCS+FI+output_formation
205,15959972,15.96,double_intermediate,1,plan+SOCS+FI+output_formation
206,16167902,16.1679,double_intermediate,1,plan+SOCS+FI+output_formation
207,15460036,15.46,double_intermediate,1,plan+SOCS+FI+output_formation
208,15717971,15.718,double_intermediate,1,plan+SOCS+FI+output_formation
209,15481357,15.4814,double_intermediate,1,plan+SOCS+FI+output_formation
210,15501096,15.5011,double_intermediate,1,plan+SOCS+FI+output_formation
211,15519629,15.5196,double_intermediate,1,plan+SOCS+FI+output_formation
212,15554702,15.5547,double_intermediate,1,plan+SOCS+FI+output_formation
213,15478407,15.4784,double_intermediate,1,plan+SOCS+FI+output_formation
214,15557332,15.5573,double_intermediate,1,plan+SOCS+FI+output_formation
215,15626976,15.627,double_intermediate,1,plan+SOCS+FI+output_formation
216,15518360,15.5184,double_intermediate,1,plan+SOCS+FI+output_formation
217,15526744,15.5267,double_intermediate,1,plan+SOCS+FI+output_formation
218,15610346,15.6103,double_intermediate,1,plan+SOCS+FI+output_formation
219,15529668,15.5297,double_intermediate,1,plan+SOCS+FI+output_formation
220,15482725,15.4827,double_intermediate,1,plan+SOCS+FI+output_formation
221,15570723,15.5707,double_intermediate,1,plan+SOCS+FI+output_formation
222,15495139,15.4951,double_intermediate,1,plan+SOCS+FI+output_formation
223,15496886,15.4969,double_intermediate,1,plan+SOCS+FI+output_formation
224,15506458,15.5065,double_intermediate,1,plan+SOCS+FI+output_formation
225,15452440,15.4524,double_intermediate,1,plan+SOCS+FI+output_formation
226,15539527,15.5395,double_intermediate,1,plan+SOCS+FI+output_formation
227,15506115,15.5061,double_intermediate,1,plan+SOCS+FI+output_formation
228,15517788,15.5178,double_intermediate,1,plan+SOCS+FI+output_formation
229,15447010,15.447,double_intermediate,1,plan+SOCS+FI+output_formation
230,15757465,15.7575,double_intermediate,1,plan+SOCS+FI+output_formation
231,15474656,15.4747,double_intermediate,1,plan+SOCS+FI+output_formation
232,15552248,15.5522,double_intermediate,1,plan+SOCS+FI+output_formation
233,15461055,15.4611,double_intermediate,1,plan+SOCS+FI+output_formation
234,15765622,15.7656,double_intermediate,1,plan+SOCS+FI+output_formation
235,16072019,16.072,double_intermediate,1,plan+SOCS+FI+output_formation
236,15482703,15.4827,double_intermediate,1,plan+SOCS+FI+output_formation
237,15468560,15.4686,double_intermediate,1,plan+SOCS+FI+output_formation
238,17853063,17.8531,double_intermediate,1,plan+SOCS+FI+output_formation
239,15520802,15.5208,double_intermediate,1,plan+SOCS+FI+output_formation
240,15504556,15.5046,double_intermediate,1,plan+SOCS+FI+output_formation
241,15516230,15.5162,double_intermediate,1,plan+SOCS+FI+output_formation
242,15558548,15.5585,double_intermediate,1,plan+SOCS+FI+output_formation
243,15509520,15.5095,double_intermediate,1,plan+SOCS+FI+output_formation
244,15577634,15.5776,double_intermediate,1,plan+SOCS+FI+output_formation
245,15512792,15.5128,double_intermediate,1,plan+SOCS+FI+output_formation
246,15561290,15.5613,double_intermediate,1,plan+SOCS+FI+output_formation
247,15523691,15.5237,double_intermediate,1,plan+SOCS+FI+output_formation
248,15808514,15.8085,double_intermediate,1,plan+SOCS+FI+output_formation
249,15732457,15.7325,double_intermediate,1,plan+SOCS+FI+output_formation
250,15540353,15.5404,double_intermediate,1,plan+SOCS+FI+output_formation
251,15491132,15.4911,double_intermediate,1,plan+SOCS+FI+output_formation
252,15475753,15.4758,double_intermediate,1,plan+SOCS+FI+output_formation
253,15698639,15.6986,double_intermediate,1,plan+SOCS+FI+output_formation
254,15502203,15.5022,double_intermediate,1,plan+SOCS+FI+output_formation
255,15498525,15.4985,double_intermediate,1,plan+SOCS+FI+output_formation
256,15560445,15.5604,double_intermediate,1,plan+SOCS+FI+output_formation
257,15523194,15.5232,double_intermediate,1,plan+SOCS+FI+output_formation
258,15494945,15.4949,double_intermediate,1,plan+SOCS+FI+output_formation
259,15614088,15.6141,double_intermediate,1,plan+SOCS+FI+output_formation
260,15549084,15.5491,double_intermediate,1,plan+SOCS+FI+output_formation
261,15779160,15.7792,double_intermediate,1,plan+SOCS+FI+output_formation
262,15687731,15.6877,double_intermediate,1,plan+SOCS+FI+output_formation
