iteration,latency_ns,latency_ms,measurement_type
290,13621273,13.621273,host_observed_busy_poll
291,13602474,13.602474,host_observed_busy_poll
292,13598822,13.598822,host_observed_busy_poll
293,13607075,13.607075,host_observed_busy_poll
294,13605420,13.60542,host_observed_busy_poll
295,13605439,13.605439,host_observed_busy_poll
296,13605887,13.605887,host_observed_busy_poll
297,13601866,13.601866,host_observed_busy_poll
298,13597318,13.597318,host_observed_busy_poll
299,13604646,13.604646,host_observed_busy_poll
300,13599997,13.599997,host_observed_busy_poll
301,13601576,13.601576,host_observed_busy_poll
302,13598889,13.598889,host_observed_busy_poll
303,13602268,13.602268,host_observed_busy_poll
304,13600282,13.600282,host_observed_busy_poll
305,13600782,13.600782,host_observed_busy_poll
306,13600199,13.600199,host_observed_busy_poll
307,13604600,13.6046,host_observed_busy_poll
308,13602736,13.602736,host_observed_busy_poll
309,13594149,13.594149,host_observed_busy_poll
310,13595681,13.595681,host_observed_busy_poll
311,13594780,13.59478,host_observed_busy_poll
312,13608205,13.608205,host_observed_busy_poll
313,13601349,13.601349,host_observed_busy_poll
314,13593850,13.59385,host_observed_busy_poll
315,13599179,13.599179,host_observed_busy_poll
316,13595722,13.595722,host_observed_busy_poll
317,13607434,13.607434,host_observed_busy_poll
318,13594058,13.594058,host_observed_busy_poll
319,13596277,13.596277,host_observed_busy_poll
320,13595824,13.595824,host_observed_busy_poll
321,13597215,13.597215,host_observed_busy_poll
322,13595069,13.595069,host_observed_busy_poll
323,13598189,13.598189,host_observed_busy_poll
324,13595977,13.595977,host_observed_busy_poll
325,13604352,13.604352,host_observed_busy_poll
326,13596992,13.596992,host_observed_busy_poll
327,13604065,13.604065,host_observed_busy_poll
328,13603181,13.603181,host_observed_busy_poll
329,13595811,13.595811,host_observed_busy_poll
330,13601209,13.601209,host_observed_busy_poll
331,13605313,13.605313,host_observed_busy_poll
332,13596842,13.596842,host_observed_busy_poll
333,13594541,13.594541,host_observed_busy_poll
334,13595031,13.595031,host_observed_busy_poll
335,13602868,13.602868,host_observed_busy_poll
336,13603844,13.603844,host_observed_busy_poll
337,13596431,13.596431,host_observed_busy_poll
338,13602687,13.602687,host_observed_busy_poll
339,13599629,13.599629,host_observed_busy_poll
340,13607014,13.607014,host_observed_busy_poll
341,13604358,13.604358,host_observed_busy_poll
342,13603238,13.603238,host_observed_busy_poll
343,13595402,13.595402,host_observed_busy_poll
344,13603526,13.603526,host_observed_busy_poll
345,13640297,13.640297,host_observed_busy_poll
346,13596481,13.596481,host_observed_busy_poll
347,13621782,13.621782,host_observed_busy_poll
348,13595640,13.59564,host_observed_busy_poll
349,13595062,13.595062,host_observed_busy_poll
350,13600766,13.600766,host_observed_busy_poll
351,13596656,13.596656,host_observed_busy_poll
352,13606880,13.60688,host_observed_busy_poll
353,13600341,13.600341,host_observed_busy_poll
354,13597272,13.597272,host_observed_busy_poll
355,13592672,13.592672,host_observed_busy_poll
356,13596883,13.596883,host_observed_busy_poll
357,13593322,13.593322,host_observed_busy_poll
358,13604959,13.604959,host_observed_busy_poll
359,13600647,13.600647,host_observed_busy_poll
360,13594824,13.594824,host_observed_busy_poll
361,13595940,13.59594,host_observed_busy_poll
362,13599749,13.599749,host_observed_busy_poll
363,13600667,13.600667,host_observed_busy_poll
364,13594555,13.594555,host_observed_busy_poll
365,13593399,13.593399,host_observed_busy_poll
366,13600360,13.60036,host_observed_busy_poll
367,13604961,13.604961,host_observed_busy_poll
368,13604377,13.604377,host_observed_busy_poll
369,13601853,13.601853,host_observed_busy_poll
370,13599498,13.599498,host_observed_busy_poll
371,13604246,13.604246,host_observed_busy_poll
372,13603056,13.603056,host_observed_busy_poll
373,13595905,13.595905,host_observed_busy_poll
374,13595229,13.595229,host_observed_busy_poll
375,13597099,13.597099,host_observed_busy_poll
376,13600588,13.600588,host_observed_busy_poll
377,13605780,13.60578,host_observed_busy_poll
378,13608738,13.608738,host_observed_busy_poll
379,13598318,13.598318,host_observed_busy_poll
380,13599424,13.599424,host_observed_busy_poll
381,13601864,13.601864,host_observed_busy_poll
382,13594427,13.594427,host_observed_busy_poll
383,13599065,13.599065,host_observed_busy_poll
384,13598620,13.59862,host_observed_busy_poll
385,13595901,13.595901,host_observed_busy_poll
386,13597777,13.597777,host_observed_busy_poll
387,13596598,13.596598,host_observed_busy_poll
388,13598216,13.598216,host_observed_busy_poll
389,13607529,13.607529,host_observed_busy_poll
390,13606332,13.606332,host_observed_busy_poll
391,13609540,13.60954,host_observed_busy_poll
392,13601826,13.601826,host_observed_busy_poll
393,13595849,13.595849,host_observed_busy_poll
394,13593716,13.593716,host_observed_busy_poll
395,13600052,13.600052,host_observed_busy_poll
396,13604254,13.604254,host_observed_busy_poll
397,13598262,13.598262,host_observed_busy_poll
398,13599571,13.599571,host_observed_busy_poll
399,13595077,13.595077,host_observed_busy_poll
400,13599558,13.599558,host_observed_busy_poll
401,13600975,13.600975,host_observed_busy_poll
402,13604606,13.604606,host_observed_busy_poll
403,13608377,13.608377,host_observed_busy_poll
404,13620031,13.620031,host_observed_busy_poll
405,13604919,13.604919,host_observed_busy_poll
406,13595894,13.595894,host_observed_busy_poll
407,13598575,13.598575,host_observed_busy_poll
408,13602302,13.602302,host_observed_busy_poll
409,13602481,13.602481,host_observed_busy_poll
410,13598070,13.59807,host_observed_busy_poll
411,13599429,13.599429,host_observed_busy_poll
412,13604298,13.604298,host_observed_busy_poll
413,13607558,13.607558,host_observed_busy_poll
414,13597302,13.597302,host_observed_busy_poll
415,13602861,13.602861,host_observed_busy_poll
416,13615997,13.615997,host_observed_busy_poll
417,13609642,13.609642,host_observed_busy_poll
418,13601041,13.601041,host_observed_busy_poll
419,13602160,13.60216,host_observed_busy_poll
420,13600922,13.600922,host_observed_busy_poll
421,13607916,13.607916,host_observed_busy_poll
422,13600323,13.600323,host_observed_busy_poll
423,13645754,13.645754,host_observed_busy_poll
424,13607376,13.607376,host_observed_busy_poll
425,13603240,13.60324,host_observed_busy_poll
426,13600041,13.600041,host_observed_busy_poll
427,13602624,13.602624,host_observed_busy_poll
428,13597420,13.59742,host_observed_busy_poll
429,13592971,13.592971,host_observed_busy_poll
430,13602053,13.602053,host_observed_busy_poll
431,13597795,13.597795,host_observed_busy_poll
432,13605759,13.605759,host_observed_busy_poll
433,13603622,13.603622,host_observed_busy_poll
434,13607417,13.607417,host_observed_busy_poll
435,13598876,13.598876,host_observed_busy_poll
436,13598624,13.598624,host_observed_busy_poll
437,13597643,13.597643,host_observed_busy_poll
438,13605299,13.605299,host_observed_busy_poll
439,13603409,13.603409,host_observed_busy_poll
440,13607521,13.607521,host_observed_busy_poll
441,13599531,13.599531,host_observed_busy_poll
442,13604312,13.604312,host_observed_busy_poll
443,13594743,13.594743,host_observed_busy_poll
444,13594260,13.59426,host_observed_busy_poll
445,13600835,13.600835,host_observed_busy_poll
446,13597971,13.597971,host_observed_busy_poll
447,13593782,13.593782,host_observed_busy_poll
448,13605244,13.605244,host_observed_busy_poll
449,13602055,13.602055,host_observed_busy_poll
450,13597361,13.597361,host_observed_busy_poll
451,13605232,13.605232,host_observed_busy_poll
452,13592007,13.592007,host_observed_busy_poll
453,13598492,13.598492,host_observed_busy_poll
454,13603682,13.603682,host_observed_busy_poll
455,13601772,13.601772,host_observed_busy_poll
456,13591908,13.591908,host_observed_busy_poll
457,13595446,13.595446,host_observed_busy_poll
458,13600523,13.600523,host_observed_busy_poll
459,13593691,13.593691,host_observed_busy_poll
460,13597977,13.597977,host_observed_busy_poll
461,13597049,13.597049,host_observed_busy_poll
462,13608804,13.608804,host_observed_busy_poll
463,13596470,13.59647,host_observed_busy_poll
464,13595818,13.595818,host_observed_busy_poll
465,13604577,13.604577,host_observed_busy_poll
466,13601989,13.601989,host_observed_busy_poll
467,13614832,13.614832,host_observed_busy_poll
468,13601340,13.60134,host_observed_busy_poll
469,13603933,13.603933,host_observed_busy_poll
470,13594990,13.59499,host_observed_busy_poll
471,13603601,13.603601,host_observed_busy_poll
472,13593314,13.593314,host_observed_busy_poll
473,13604176,13.604176,host_observed_busy_poll
474,13602186,13.602186,host_observed_busy_poll
475,13602253,13.602253,host_observed_busy_poll
476,13642439,13.642439,host_observed_busy_poll
477,13609443,13.609443,host_observed_busy_poll
478,13609014,13.609014,host_observed_busy_poll
479,13604843,13.604843,host_observed_busy_poll
480,13595808,13.595808,host_observed_busy_poll
481,13603789,13.603789,host_observed_busy_poll
482,13605942,13.605942,host_observed_busy_poll
483,13600505,13.600505,host_observed_busy_poll
484,13606657,13.606657,host_observed_busy_poll
485,13597299,13.597299,host_observed_busy_poll
486,13614136,13.614136,host_observed_busy_poll
487,13604347,13.604347,host_observed_busy_poll
488,13601001,13.601001,host_observed_busy_poll
489,13597087,13.597087,host_observed_busy_poll
490,13611195,13.611195,host_observed_busy_poll
491,13598682,13.598682,host_observed_busy_poll
492,13594451,13.594451,host_observed_busy_poll
493,13595777,13.595777,host_observed_busy_poll
494,13601287,13.601287,host_observed_busy_poll
495,13597240,13.59724,host_observed_busy_poll
496,13594721,13.594721,host_observed_busy_poll
497,13598315,13.598315,host_observed_busy_poll
498,13596851,13.596851,host_observed_busy_poll
499,13606218,13.606218,host_observed_busy_poll
500,13598068,13.598068,host_observed_busy_poll
501,13600393,13.600393,host_observed_busy_poll
502,13599816,13.599816,host_observed_busy_poll
503,13592814,13.592814,host_observed_busy_poll
504,13618871,13.618871,host_observed_busy_poll
505,13596118,13.596118,host_observed_busy_poll
506,13600351,13.600351,host_observed_busy_poll
507,13598649,13.598649,host_observed_busy_poll
508,13595216,13.595216,host_observed_busy_poll
509,13600213,13.600213,host_observed_busy_poll
510,13601635,13.601635,host_observed_busy_poll
511,13599178,13.599178,host_observed_busy_poll
512,13595760,13.59576,host_observed_busy_poll
513,13635383,13.635383,host_observed_busy_poll
514,13600352,13.600352,host_observed_busy_poll
515,13599659,13.599659,host_observed_busy_poll
516,13597762,13.597762,host_observed_busy_poll
517,13606082,13.606082,host_observed_busy_poll
518,13601239,13.601239,host_observed_busy_poll
519,13602655,13.602655,host_observed_busy_poll
520,13607604,13.607604,host_observed_busy_poll
521,13607174,13.607174,host_observed_busy_poll
522,13595478,13.595478,host_observed_busy_poll
523,13599181,13.599181,host_observed_busy_poll
524,13603495,13.603495,host_observed_busy_poll
525,13602952,13.602952,host_observed_busy_poll
526,13595527,13.595527,host_observed_busy_poll
527,13602510,13.60251,host_observed_busy_poll
528,13598566,13.598566,host_observed_busy_poll
529,13598588,13.598588,host_observed_busy_poll
530,13596617,13.596617,host_observed_busy_poll
531,13597847,13.597847,host_observed_busy_poll
532,13598940,13.59894,host_observed_busy_poll
533,13594012,13.594012,host_observed_busy_poll
534,13601124,13.601124,host_observed_busy_poll
535,13604484,13.604484,host_observed_busy_poll
536,13597020,13.59702,host_observed_busy_poll
537,13602137,13.602137,host_observed_busy_poll
538,13603593,13.603593,host_observed_busy_poll
539,13594132,13.594132,host_observed_busy_poll
540,13595302,13.595302,host_observed_busy_poll
541,13601320,13.60132,host_observed_busy_poll
542,13598756,13.598756,host_observed_busy_poll
543,13596980,13.59698,host_observed_busy_poll
544,13594466,13.594466,host_observed_busy_poll
545,13603633,13.603633,host_observed_busy_poll
546,13604863,13.604863,host_observed_busy_poll
547,13601708,13.601708,host_observed_busy_poll
548,13596011,13.596011,host_observed_busy_poll
549,13604386,13.604386,host_observed_busy_poll
550,13604479,13.604479,host_observed_busy_poll
551,13607719,13.607719,host_observed_busy_poll
552,13601475,13.601475,host_observed_busy_poll
553,13596837,13.596837,host_observed_busy_poll
554,13600441,13.600441,host_observed_busy_poll
555,13600314,13.600314,host_observed_busy_poll
556,13602836,13.602836,host_observed_busy_poll
557,13612585,13.612585,host_observed_busy_poll
558,13605137,13.605137,host_observed_busy_poll
559,13599961,13.599961,host_observed_busy_poll
560,13595952,13.595952,host_observed_busy_poll
561,13597227,13.597227,host_observed_busy_poll
562,13611944,13.611944,host_observed_busy_poll
563,13600835,13.600835,host_observed_busy_poll
564,13599003,13.599003,host_observed_busy_poll
565,13602210,13.60221,host_observed_busy_poll
566,13596317,13.596317,host_observed_busy_poll
567,13603897,13.603897,host_observed_busy_poll
568,13597434,13.597434,host_observed_busy_poll
569,13599855,13.599855,host_observed_busy_poll
570,13598209,13.598209,host_observed_busy_poll
571,13598077,13.598077,host_observed_busy_poll
572,13609910,13.60991,host_observed_busy_poll
573,13603355,13.603355,host_observed_busy_poll
574,13594689,13.594689,host_observed_busy_poll
575,13604829,13.604829,host_observed_busy_poll
576,13594306,13.594306,host_observed_busy_poll
577,13601883,13.601883,host_observed_busy_poll
578,13596591,13.596591,host_observed_busy_poll
579,13603553,13.603553,host_observed_busy_poll
580,13606151,13.606151,host_observed_busy_poll
581,13599808,13.599808,host_observed_busy_poll
582,13594362,13.594362,host_observed_busy_poll
583,13598597,13.598597,host_observed_busy_poll
584,13602104,13.602104,host_observed_busy_poll
585,13600396,13.600396,host_observed_busy_poll
586,13597825,13.597825,host_observed_busy_poll
587,13607858,13.607858,host_observed_busy_poll
588,13602044,13.602044,host_observed_busy_poll
589,13599162,13.599162,host_observed_busy_poll
590,13593749,13.593749,host_observed_busy_poll
591,13605076,13.605076,host_observed_busy_poll
592,13601118,13.601118,host_observed_busy_poll
593,13600733,13.600733,host_observed_busy_poll
594,13598447,13.598447,host_observed_busy_poll
595,13605672,13.605672,host_observed_busy_poll
596,13597361,13.597361,host_observed_busy_poll
597,13592959,13.592959,host_observed_busy_poll
598,13595199,13.595199,host_observed_busy_poll
599,13608026,13.608026,host_observed_busy_poll
600,13595371,13.595371,host_observed_busy_poll
601,13606126,13.606126,host_observed_busy_poll
602,13593223,13.593223,host_observed_busy_poll
603,13595627,13.595627,host_observed_busy_poll
604,13596691,13.596691,host_observed_busy_poll
605,13600883,13.600883,host_observed_busy_poll
606,13604310,13.60431,host_observed_busy_poll
607,13594128,13.594128,host_observed_busy_poll
608,13600452,13.600452,host_observed_busy_poll
609,13610811,13.610811,host_observed_busy_poll
610,13602965,13.602965,host_observed_busy_poll
611,13598919,13.598919,host_observed_busy_poll
612,13602569,13.602569,host_observed_busy_poll
613,13604045,13.604045,host_observed_busy_poll
614,13599803,13.599803,host_observed_busy_poll
615,13597826,13.597826,host_observed_busy_poll
616,13598643,13.598643,host_observed_busy_poll
617,13592412,13.592412,host_observed_busy_poll
618,13593156,13.593156,host_observed_busy_poll
619,13602588,13.602588,host_observed_busy_poll
620,13599918,13.599918,host_observed_busy_poll
621,13604057,13.604057,host_observed_busy_poll
622,13595957,13.595957,host_observed_busy_poll
623,14220130,14.22013,host_observed_busy_poll
624,13612473,13.612473,host_observed_busy_poll
625,13607139,13.607139,host_observed_busy_poll
626,13595411,13.595411,host_observed_busy_poll
627,13595476,13.595476,host_observed_busy_poll
628,13599275,13.599275,host_observed_busy_poll
629,13612632,13.612632,host_observed_busy_poll
630,13606711,13.606711,host_observed_busy_poll
631,13601120,13.60112,host_observed_busy_poll
